2026-03-01 14:22:11 | INFO | utility | === Application started ===
2026-03-01 14:22:32 | INFO | utility | Updated staff member: Claire Saffitz with the following changes: {'Role': 'Waiter', 'Till_Authorized': 'Yes', 'Is_Manager': 'No', 'Email': 'claire.saffitz@example.com'}
2026-03-01 14:22:48 | INFO | utility | Demand manually modified by user.
2026-03-01 14:22:54 | INFO | utility | === Application finished ===
2026-03-04 22:12:35 | INFO | utility | === Application started (Flask mode) ===
2026-03-04 22:12:35 | INFO | utility | StaffManager initialised — CSV files loaded.
2026-03-04 22:12:35 | INFO | utility | Flask bridge initialised. Starting web server...
2026-03-04 22:12:35 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-03-04 22:12:35 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-03-04 22:12:37 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:12:37] "GET / HTTP/1.1" 200 -
2026-03-04 22:12:37 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:12:37] "GET /api/staff HTTP/1.1" 200 -
2026-03-04 22:12:37 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:12:37] "GET /api/demand HTTP/1.1" 200 -
2026-03-04 22:12:37 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:12:37] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2026-03-04 22:12:37 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:12:37] "GET /api/schedule HTTP/1.1" 200 -
2026-03-04 22:12:44 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:12:44] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:12:52 | INFO | matplotlib.font_manager | generated new fontManager
2026-03-04 22:12:52 | INFO | utility | Scheduler triggered via UI.
2026-03-04 22:12:54 | INFO | utility | Scheduler done. Total shortages: 0
2026-03-04 22:12:54 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:12:54] "POST /api/run HTTP/1.1" 200 -
2026-03-04 22:13:21 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:13:21] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:13:33 | INFO | utility | need_for_staff.csv updated via UI.
2026-03-04 22:13:33 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:13:33] "POST /api/demand HTTP/1.1" 200 -
2026-03-04 22:13:46 | INFO | utility | need_for_staff.csv updated via UI.
2026-03-04 22:13:46 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:13:46] "POST /api/demand HTTP/1.1" 200 -
2026-03-04 22:13:49 | INFO | utility | Scheduler triggered via UI.
2026-03-04 22:13:50 | INFO | utility | Scheduler done. Total shortages: 0
2026-03-04 22:13:50 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:13:50] "POST /api/run HTTP/1.1" 200 -
2026-03-04 22:14:35 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:14:35] "GET /api/export/Weekly_Staff_Schedule.xlsx HTTP/1.1" 200 -
2026-03-04 22:14:51 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:14:51] "GET /api/export/Weekly_Staff_Schedule.pdf HTTP/1.1" 200 -
2026-03-04 22:17:13 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:17:13] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:21:18 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:21:18] "[33mGET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1[0m" 404 -
2026-03-04 22:29:15 | INFO | utility | === Application started (Flask mode) ===
2026-03-04 22:29:15 | INFO | utility | StaffManager initialised — CSV files loaded.
2026-03-04 22:29:15 | INFO | utility | Flask bridge initialised. Starting web server...
2026-03-04 22:29:15 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-03-04 22:29:15 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-03-04 22:29:17 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:29:17] "[33mGET / HTTP/1.1[0m" 404 -
2026-03-04 22:30:51 | INFO | utility | === Application started (Flask mode) ===
2026-03-04 22:30:51 | INFO | utility | StaffManager initialised — CSV files loaded.
2026-03-04 22:30:51 | INFO | utility | Flask bridge initialised. Starting web server...
2026-03-04 22:30:51 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-03-04 22:30:51 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-03-04 22:30:53 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:30:53] "GET / HTTP/1.1" 200 -
2026-03-04 22:30:53 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:30:53] "GET /api/staff HTTP/1.1" 200 -
2026-03-04 22:30:53 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:30:53] "GET /api/demand HTTP/1.1" 200 -
2026-03-04 22:30:53 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:30:53] "GET /api/schedule HTTP/1.1" 200 -
2026-03-04 22:30:54 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:30:54] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:31:29 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:31:29] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:31:31 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:31:31] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:32:12 | INFO | utility | Scheduler triggered via UI.
2026-03-04 22:32:13 | INFO | utility | Scheduler done. Total shortages: 0
